tconst,watched,priority,netflix,prime
tt0242653,1,0,,
tt0245429,1,0,,
tt0245712,0,0,,
tt0246578,1,0,,
tt0247196,0,0,0,0
tt0255798,1,0,,
tt0259324,1,0,,
tt0264464,1,1,1,1
tt0266308,0,1,0,0
tt0266543,1,0,,
tt0266697,1,0,,
tt0268978,0,0,,
tt0274166,1,0,,
tt0284837,1,0,,
tt0285823,1,0,,
tt0286244,0,0,0,0
tt0286716,1,0,,
tt0295178,1,0,,
tt0295701,1,0,,
tt0304141,1,0,,
tt0305224,1,0,,
tt0307453,1,0,,
tt0308644,1,0,,
tt0311429,1,0,,
tt0315327,1,0,,
tt0317248,1,0,,
tt0317705,1,0,,
tt0317740,1,0,,
tt0319061,1,0,,
tt0320691,0,1,,
tt0322259,1,0,,
tt0322802,1,0,,
tt0325710,0,0,,
tt0325980,1,0,,
tt0327554,1,0,,
tt0328832,0,0,0,0
tt0329774,1,0,,
tt0330373,1,0,,
tt0338013,1,0,,
tt0338348,1,0,,
tt0338526,1,0,,
tt0339291,1,0,,
tt0343818,1,0,,
tt0348150,1,0,,
tt0349903,1,0,,
tt0353969,1,0,,
tt0355702,1,0,,
tt0356150,1,0,,
tt0358082,1,0,,
tt0358273,1,0,,
tt0360486,0,1,,
tt0361748,1,0,,
tt0362227,0,0,,
tt0363163,0,0,,
tt0364569,1,0,,
tt0365686,0,0,,
tt0365830,1,0,,
tt0365907,1,0,,
tt0366548,1,0,,
tt0367594,1,0,,
tt0367882,1,0,,
tt0368226,1,0,,
tt0369339,1,0,1,0
tt0369610,1,0,,
tt0371746,1,0,,
tt0372588,1,0,,
tt0372784,1,0,,
tt0373074,1,0,,
tt0376136,1,0,,
tt0378194,1,0,,
tt0382932,1,0,,
tt0383574,1,0,,
tt0385887,0,0,0,0
tt0386588,1,0,,
tt0387808,1,0,,
tt0388795,0,0,,
tt0389860,1,0,,
tt0395169,0,0,,
tt0401085,0,0,0,0
tt0405094,0,0,,
tt0405296,1,0,,
tt0407304,1,0,,
tt0407887,1,0,,
tt0408306,1,0,,
tt0409847,0,0,,
tt0410519,1,0,,
tt0411477,1,0,,
tt0413099,1,0,,
tt0413267,1,0,,
tt0417148,1,0,,
tt0418279,1,0,,
tt0419706,1,0,,
tt0429493,1,0,,
tt0430105,1,0,,
tt0432283,1,0,,
tt0434409,0,1,0,0
tt0435761,1,0,,
tt0440963,1,0,,
tt0441773,1,0,,
tt0442933,1,0,,
tt0443453,1,0,,
tt0443706,1,0,,
tt0446029,1,0,,
tt0448157,1,0,,
tt0449088,1,0,,
tt0450259,1,0,,
tt0454848,1,0,,
tt0454876,1,0,,
tt0454921,1,0,,
